cpt_code,description,category,contrast
J1632,"Inj., brexanolone, 1 mg",Other,Unspecified
J1640,"Hemin, 1 mg",Other,Unspecified
J1642,Inj heparin sodium per 10 u,Other,Unspecified
J1643,"Inj heparin, pfizer, 1000u",Other,Unspecified
J1644,Inj heparin sodium per 1000u,Other,Unspecified
J1645,Dalteparin sodium,Other,Unspecified
J1650,Inj enoxaparin sodium,Other,Unspecified
J1652,Fondaparinux sodium,Other,Unspecified
J1655,Tinzaparin sodium injection,CT,Unspecified
J1670,Tetanus immune globulin inj,Other,Unspecified
J1675,Histrelin acetate,Other,Unspecified
J1700,Hydrocortisone acetate inj,Other,Unspecified
J1710,Hydrocortisone sodium ph inj,Other,Unspecified
J1720,Hydrocortisone sodium succ i,Other,Unspecified
J1726,"Makena, 10 mg",Other,Unspecified
J1729,Inj hydroxyprogst capoat nos,Other,Unspecified
J1730,Diazoxide injection,CT,Unspecified
J1738,Inj. meloxicam 1 mg,Other,Unspecified
J1740,Ibandronate sodium injection,CT,Unspecified
J1741,Ibuprofen injection,CT,Unspecified
J1742,Ibutilide fumarate injection,CT,Unspecified
J1743,Idursulfase injection,CT,Unspecified
J1744,Icatibant injection,CT,Unspecified
J1745,Infliximab not biosimil 10mg,Other,Unspecified
J1746,"Inj., ibalizumab-uiyk, 10 mg",Other,Unspecified
J1747,"Inj, spesolimab-sbzo, 1 mg",Other,Unspecified
J1748,"Inj, zymfentra, 10 mg",Other,Unspecified
J1749,"Inj, iloprost, 0.1 mcg",Other,Unspecified
J1750,Inj iron dextran,Other,Unspecified
J1756,Iron sucrose injection,CT,Unspecified
J1786,Imuglucerase injection,CT,Unspecified
J1790,Droperidol injection,CT,Unspecified
J1800,Propranolol injection,CT,Unspecified
J1805,"Inj, esmolol hcl, 10mg",Other,Unspecified
J1806,Inj esmolol hcl wg crit care,Other,Unspecified
J1810,Droperidol/fentanyl inj,Other,Unspecified
J1811,Fiasp for insulin pump use,Other,Unspecified
J1812,Inj. insulin (fiasp),Other,Unspecified
J1813,Lyumjev for insulin pump use,Other,Unspecified
J1814,Inj. insulin (lyumjev),Other,Unspecified
J1815,Insulin injection,CT,Unspecified
J1817,Insulin for insulin pump use,Other,Unspecified
J1823,"Inj. inebilizumab-cdon, 1 mg",Other,Unspecified
J1826,Interferon beta-1a inj,Other,Unspecified
J1830,Interferon beta-1b / .25 mg,Other,Unspecified
J1833,"Injection, isavuconazonium",CT,Unspecified
J1835,Itraconazole injection,CT,Unspecified
J1836,"Inj, metronidazole, 10 mg",Other,Unspecified
J1885,Ketorolac tromethamine inj,Other,Unspecified
J1890,Cephalothin sodium injection,CT,Unspecified
J1920,"Inj, labetalol hcl, 5mg",Other,Unspecified
J1921,"Inj labetalol hcl hikma, 5mg",Other,Unspecified
J1930,Lanreotide injection,CT,Unspecified
J1931,Laronidase injection,CT,Unspecified
J1932,"Inj, lanreotide, (cipla) 1mg",Other,Unspecified
J1939,"Inj, bumetanide, 0.5 mg",Other,Unspecified
J1940,Furosemide injection,CT,Unspecified
J1941,"Inj, furoscix, 20 mg",Other,Unspecified
J1943,"Inj., aristada initio, 1 mg",Other,Unspecified
J1944,Aripiprazole lauroxil 1 mg,Other,Unspecified
J1945,Lepirudin,Other,Unspecified
J1950,Leuprolide acetate /3.75 mg,Other,Unspecified
J1951,Inj fensolvi 0.25 mg,Other,Unspecified
J1952,"Leuprolide inj, camcevi, 1mg",Other,Unspecified
J1953,Levetiracetam injection,CT,Unspecified
J1954,Leuprolide depot cipla 7.5mg,Other,Unspecified
J1955,Inj levocarnitine per 1 gm,Other,Unspecified
J1956,Levofloxacin injection,CT,Unspecified
J1960,Levorphanol tartrate inj,Other,Unspecified
J1961,"Inj, lenacapavir, 1 mg",Other,Unspecified
J1980,Hyoscyamine sulfate inj,Other,Unspecified
J1990,Chlordiazepoxide injection,CT,Unspecified
J2002,"Inj, lidocaine in d5w, 1 mg",Other,Unspecified
J2003,"Inj, lidocaine hcl, 1 mg",Other,Unspecified
J2004,"Inj, lidocaine w epinephrine",Other,Unspecified
J2010,Lincomycin injection,CT,Unspecified
J2020,Linezolid injection,CT,Unspecified
J2021,"Inj, linezolid (hospira)",Other,Unspecified
J2060,Lorazepam injection,CT,Unspecified
J2062,Loxapine for inhalation 1 mg,Other,Unspecified
J2150,Mannitol injection,CT,Unspecified
J2170,Mecasermin injection,CT,Unspecified
J2175,Meperidine hydrochl /100 mg,Other,Unspecified
J2180,Meperidine/promethazine inj,Other,Unspecified
J2182,"Injection, mepolizumab, 1mg",CT,Unspecified
J2183,Inj meropenem (wg crit care),Other,Unspecified
J2184,"Inj, meropenem (b. braun)",Other,Unspecified
J2185,Meropenem,Other,Unspecified
J2186,"Inj., meropenem, vaborbactam",CT,Unspecified
J2210,Methylergonovin maleate inj,Other,Unspecified
J2212,Methylnaltrexone injection,CT,Unspecified
J2246,"Inj, micafungin (baxter)",Other,Unspecified
J2247,"Inj, micafungin (par pharm)",Other,Unspecified
J2248,Micafungin sodium injection,CT,Unspecified
J2249,"Inj, remimazolam, 1 mg",Other,Unspecified
J2250,Inj midazolam hydrochloride,Other,Unspecified
J2251,Inj midazolam in 0.9% nacl,Other,Unspecified
J2252,Inj midazolam in 0.8% nacl,Other,Unspecified
J2253,Inj midazolam (seizalam),Other,Unspecified
J2260,Inj milrinone lactate / 5 mg,CT,Unspecified
J2265,Minocycline hydrochloride,Other,Unspecified
J2267,"Inj, mirikizumab-mrkz, 1 mg",Other,Unspecified
J2270,Morphine sulfate injection,CT,Unspecified
J2272,"Inj, morphine (fresenius)",Other,Unspecified
J2274,Inj morphine pf epid ithc,Other,Unspecified
J2277,"Inj, motixafortide, 0.25 mg",Other,Unspecified
J2278,Ziconotide injection,CT,Unspecified
J2280,"Inj, moxifloxacin 100 mg",Other,Unspecified
J2281,Inj moxifloxacin (fres kabi),Other,Unspecified
J2290,"Inj, nafcillin sodium, 20 mg",Other,Unspecified
J2300,Inj nalbuphine hydrochloride,Other,Unspecified
J2305,"Inj, nitroglycerin, 5 mg",Other,Unspecified
J2310,Inj naloxone hydrochloride,Other,Unspecified
J2311,"Inj, naloxone hcl (zimhi)",Other,Unspecified
J2315,"Naltrexone, depot form",Other,Unspecified
J2320,Nandrolone decanoate 50 mg,Other,Unspecified
J2323,Natalizumab injection,CT,Unspecified
J2325,Nesiritide injection,CT,Unspecified
J2326,"Inj, nusinersen, 0.1mg",Other,Unspecified
J2327,Inj risankizumab-rzaa 1 mg,Other,Unspecified
J2329,"Inj ublituximab-xiiy, 1 mg",Other,Unspecified
J2350,"Injection, ocrelizumab, 1 mg",CT,Unspecified
J2353,"Octreotide injection, depot",CT,Unspecified
J2354,"Octreotide inj, non-depot",CT,Unspecified
J2355,Oprelvekin injection,CT,Unspecified
J2356,"Inj tezepelumab-ekko, 1mg",Other,Unspecified
J2357,Omalizumab injection,CT,Unspecified
J2358,Olanzapine long-acting inj,CT,Unspecified
J2359,"Inj. olanzapine, 0.5mg",Other,Unspecified
J2360,Orphenadrine injection,CT,Unspecified
J2371,Inj phenylephrine hcl 20 mcg,Other,Unspecified
J2372,"Inj, biorphen, 20 micrograms",Other,Unspecified
J2373,"Inj, immphentiv, 20 mcg",Other,Unspecified
J2401,Chloroprocaine hcl injection,CT,Unspecified
J2402,Chloroprocaine (clorotekal),Other,Unspecified
J2403,"Chloroprocaine opht gel, 1mg",Other,Unspecified
J2404,"Inj, nicardipine 0.1 mg",Other,Unspecified
J2405,Ondansetron hcl injection,CT,Unspecified
J2406,"Injection, oritavancin 10 mg",CT,Unspecified
J2407,"Injection, oritavancin",CT,Unspecified
J2410,Oxymorphone hcl injection,CT,Unspecified
J2425,Palifermin injection,CT,Unspecified
J2426,"Inj, invega sustenna, 1 mg",Other,Unspecified
J2427,"Inj, invega hafyera/trinza",Other,Unspecified
J2430,Pamidronate disodium /30 mg,Other,Unspecified
J2440,Papaverin hcl injection,CT,Unspecified
J2460,Oxytetracycline injection,CT,Unspecified
J2468,"Inj, palonosetron (posfrea)",Other,Unspecified
J2469,Palonosetron hcl,Other,Unspecified
J2470,Inj pantoprazole sodium 40mg,Other,Unspecified
J2471,Inj pantoprazole(hikma) 40mg,Other,Unspecified
J2472,"Inj, pantoprazole sodium chl",Other,Unspecified
J2501,Paricalcitol,Other,Unspecified
J2502,"Inj, pasireotide long acting",CT,Unspecified
J2503,Pegaptanib sodium injection,CT,Unspecified
J2504,"Pegademase bovine, 25 iu",Other,Unspecified
J2506,Inj pegfilgrast ex bio 0.5mg,Other,Unspecified
J2507,Pegloticase injection,CT,Unspecified
J2508,Pegunigalsidase alfa-iwxj,Other,Unspecified
J2510,Penicillin g procaine inj,Other,Unspecified
J2513,Pentastarch 10% solution,Other,Unspecified
J2515,Pentobarbital sodium inj,Other,Unspecified
J2540,Penicillin g potassium inj,Other,Unspecified
J2543,Piperacillin/tazobactam,CT,Unspecified
J2545,Pentamidine non-comp unit,Other,Unspecified
J2547,"Injection, peramivir",CT,Unspecified
J2550,Promethazine hcl injection,CT,Unspecified
J2560,Phenobarbital sodium inj,Other,Unspecified
J2561,"Inj, sezaby, 1 mg",Other,Unspecified
J2562,Plerixafor injection,CT,Unspecified
J2590,Oxytocin injection,CT,Unspecified
J2597,Inj desmopressin acetate,Other,Unspecified
J2598,"Inj, vasopressin, 1 unit",Other,Unspecified
J2599,Inj vasopressin (am reg) 1 u,Other,Unspecified
J2601,"Inj, vasopressin (baxter)",Other,Unspecified
J2650,Prednisolone acetate inj,Other,Unspecified
J2670,Totazoline hcl injection,CT,Unspecified
J2675,Inj progesterone per 50 mg,Other,Unspecified
J2679,Inj fluphenazine hcl 1.25 mg,Other,Unspecified
J2680,Fluphenazine decanoate 25 mg,Other,Unspecified
J2690,Procainamide hcl injection,CT,Unspecified
J2700,Oxacillin sodium injeciton,Other,Unspecified
J2704,"Inj, propofol, 10 mg",Other,Unspecified
J2710,Neostigmine methylslfte inj,Other,Unspecified
J2720,Inj protamine sulfate/10 mg,Other,Unspecified
J2724,Protein c concentrate,Other,Unspecified
J2725,Inj protirelin per 250 mcg,Other,Unspecified
J2730,Pralidoxime chloride inj,Other,Unspecified
J2760,Phentolaine mesylate inj,Other,Unspecified
J2765,Metoclopramide hcl injection,CT,Unspecified
J2770,Quinupristin/dalfopristin,Other,Unspecified
J2777,"Inj, faricimab-svoa, 0.1mg",Other,Unspecified
J2778,Ranibizumab injection,CT,Unspecified
J2779,"Inj, susvimo 0.1 mg",Other,Unspecified
J2781,"Inj, pegcetacoplan, 1mg",Other,Unspecified
J2782,Inj avacincaptad pegol 0.1mg,Other,Unspecified
J2783,Rasburicase,Other,Unspecified
J2785,Regadenoson injection,CT,Unspecified
J2786,"Injection, reslizumab, 1mg",CT,Unspecified
J2787,Riboflavin 5'phos opth<=3ml,Other,Unspecified
J2788,Rho d immune globulin 50 mcg,Other,Unspecified
J2790,Rho d immune globulin inj,Other,Unspecified
J2791,Rhophylac injection,CT,Unspecified
J2792,"Rho(d) immune globulin h, sd",Other,Unspecified
J2793,Rilonacept injection,CT,Unspecified
J2794,"Inj risperdal consta, 0.5 mg",Other,Unspecified
J2795,Ropivacaine hcl injection,CT,Unspecified
J2797,"Inj., rolapitant, 0.5 mg",Other,Unspecified
J2798,"Inj., perseris, 0.5 mg",Other,Unspecified
J2799,"Inj, uzedy, 1 mg",Other,Unspecified
J2800,Methocarbamol injection,CT,Unspecified
J2801,"Inj, rykindo, 0.5 mg",Other,Unspecified
J2802,"Inj, romiplostim 1 microgram",Other,Unspecified
J2805,Sincalide injection,CT,Unspecified
J2810,Inj theophylline per 40 mg,Other,Unspecified
J2820,Sargramostim injection,CT,Unspecified
J2840,Inj sebelipase alfa 1 mg,Other,Unspecified
J2850,Inj secretin synthetic human,Other,Unspecified
J2860,"Injection, siltuximab",CT,Unspecified
J2910,Aurothioglucose injeciton,Other,Unspecified
J2916,Na ferric gluconate complex,Other,Unspecified
J2919,"Inj, methylpred sod succ 5mg",Other,Unspecified
J2940,Somatrem injection,CT,Unspecified
J2941,Somatropin injection,CT,Unspecified
J2950,Promazine hcl injection,CT,Unspecified
J2993,Reteplase injection,CT,Unspecified
J2995,Inj streptokinase /250000 iu,Other,Unspecified
J2997,Alteplase recombinant,Other,Unspecified
J2998,Inj plasminogen tvmh 1mg,Other,Unspecified
J3000,Streptomycin injection,CT,Unspecified
J3010,Fentanyl citrate injection,CT,Unspecified
J3030,Sumatriptan succinate / 6 mg,Other,Unspecified
J3031,"Inj., fremanezumab-vfrm 1 mg",Other,Unspecified
J3032,Inj. eptinezumab-jjmr 1 mg,Other,Unspecified
J3055,Inj talquetamab-tgvs 0.25 mg,Other,Unspecified
J3060,"Inj, taliglucerase alfa 10 u",Other,Unspecified
J3070,Pentazocine injection,CT,Unspecified
J3090,Inj tedizolid phosphate,Other,Unspecified
J3095,Telavancin injection,CT,Unspecified
J3101,Tenecteplase injection,CT,Unspecified
J3105,Terbutaline sulfate inj,Other,Unspecified
J3110,Teriparatide injection,CT,Unspecified
J3111,Inj. romosozumab-aqqg 1 mg,Other,Unspecified
J3121,Inj testostero enanthate 1mg,Other,Unspecified
J3145,Testosterone undecanoate 1mg,Other,Unspecified
J3230,Chlorpromazine hcl injection,CT,Unspecified
J3240,Thyrotropin injection,CT,Unspecified
J3241,Inj. teprotumumab-trbw 10 mg,Other,Unspecified
J3243,Tigecycline injection,CT,Unspecified
J3244,Inj. tigecycline (accord),Other,Unspecified
J3245,"Inj., tildrakizumab, 1 mg",Other,Unspecified
J3246,Tirofiban hcl,Other,Unspecified
J3247,Inj secukinumab intrav 1mg,Other,Unspecified
J3250,Trimethobenzamide hcl inj,Other,Unspecified
J3260,Tobramycin sulfate injection,CT,Unspecified
J3262,Tocilizumab injection,CT,Unspecified
J3263,"Inj, toripalimab-tpzi, 1 mg",Other,Unspecified
J3265,Injection torsemide 10 mg/ml,CT,Unspecified
J3280,Thiethylperazine maleate inj,Other,Unspecified
J3285,Treprostinil injection,CT,Unspecified
J3299,Inj xipere 1 mg,Other,Unspecified
J3300,Triamcinolone a inj prs-free,Other,Unspecified
J3301,Triamcinolone acet inj nos,Other,Unspecified
J3302,Triamcinolone diacetate inj,Other,Unspecified
J3303,Triamcinolone hexacetonl inj,Other,Unspecified
J3304,Inj triamcinolone ace xr 1mg,Other,Unspecified
J3305,Inj trimetrexate glucoronate,Other,Unspecified
J3310,Perphenazine injeciton,Other,Unspecified
J3315,Triptorelin pamoate,Other,Unspecified
J3316,"Inj., triptorelin xr 3.75 mg",Other,Unspecified
J3320,Spectinomycn di-hcl inj,CT,Unspecified
J3350,Urea injection,CT,Unspecified
J3355,"Urofollitropin, 75 iu",Other,Unspecified
J3357,"Ustekinumab sub cu inj, 1 mg",Other,Unspecified
J3358,"Ustekinumab, iv inject, 1 mg",CT,Unspecified
J3360,Diazepam injection,CT,Unspecified
J3364,Urokinase 5000 iu injection,CT,Unspecified
J3365,"Urokinase 250,000 iu inj",Other,Unspecified
J3370,Vancomycin hcl injection,CT,Unspecified
J3371,"Inj, vancomycin hcl (mylan)",Other,Unspecified
J3372,"Inj, vancomycin hcl (xellia)",Other,Unspecified
J3380,Inj vedolizumab iv 1 mg,Other,Unspecified
J3385,Velaglucerase alfa,Other,Unspecified
J3392,"Inj, exagamglogene autotem",Other,Unspecified
J3393,"Inj, betibeglogene autotemce",Other,Unspecified
J3394,"Inj, lovotibeglogene autotem",Other,Unspecified
J3396,Verteporfin injection,CT,Unspecified
J3397,"Inj., vestronidase alfa-vjbk",Other,Unspecified
J3398,Inj luxturna 1 billion vec g,Other,Unspecified
J3399,Inj onase abepar-xioi treat,Other,Unspecified
J3400,Triflupromazine hcl inj,Other,Unspecified
J3401,"Vyjuvek 5x10^9pfu/ml, 0.1 ml",Other,Unspecified
J3410,Hydroxyzine hcl injection,CT,Unspecified
J3411,Thiamine hcl 100 mg,Other,Unspecified
J3415,Pyridoxine hcl 100 mg,Other,Unspecified
J3420,Vitamin b12 injection,CT,Unspecified
J3424,Inj hydroxocobalamin iv 25mg,Other,Unspecified
J3425,Hydroxocobalamin im 10mcg,Other,Unspecified
J3430,Vitamin k phytonadione inj,Other,Unspecified
J3465,"Injection, voriconazole",CT,Unspecified
J3470,Hyaluronidase injection,CT,Unspecified
J3471,"Ovine, up to 999 usp units",Other,Unspecified
J3472,"Ovine, 1000 usp units",Other,Unspecified
J3473,Hyaluronidase recombinant,Other,Unspecified
J3475,Inj magnesium sulfate,Other,Unspecified
J3480,Inj potassium chloride,Other,Unspecified
J3485,Zidovudine,Other,Unspecified
J3486,Ziprasidone mesylate,Other,Unspecified
J3489,Zoledronic acid 1mg,Other,Unspecified
J3490,Drugs unclassified injection,CT,Unspecified
J3520,Edetate disodium per 150 mg,Other,Unspecified
J3530,Nasal vaccine inhalation,Other,Unspecified
J3535,Metered dose inhaler drug,Other,Unspecified
J3570,Laetrile amygdalin vit b17,Other,Unspecified
J3590,Unclassified biologics,Other,Unspecified
J3591,Esrd on dialysi drug/bio noc,Other,Unspecified
J7030,Normal saline solution infus,Other,Unspecified
J7040,Normal saline solution infus,Other,Unspecified
J7042,5% dextrose/normal saline,Other,Unspecified
J7050,Normal saline solution infus,Other,Unspecified
J7060,5% dextrose/water,Other,Unspecified
J7070,D5w infusion,Other,Unspecified
J7100,Dextran 40 infusion,Other,Unspecified
J7110,Dextran 75 infusion,Other,Unspecified
J7120,Ringers lactate infusion,CT,Unspecified
J7121,5% dextrose in lac ringers,Other,Unspecified
J7131,Hypertonic saline sol,Other,Unspecified
J7165,"Inj, human-lans, per i.u",Other,Unspecified
J7168,Prothrombin complex kcentra,Other,Unspecified
J7169,"Inj andexxa, 10 mg",Other,Unspecified
J7170,"Inj., emicizumab-kxwh 0.5 mg",Other,Unspecified
J7171,"Inj, adzynma, 10 iu",Other,Unspecified
J7175,"Inj, factor x, (human), 1iu",CT,Unspecified
J7177,"Inj., fibryga, 1 mg",Other,Unspecified
J7178,Inj human fibrinogen con nos,Other,Unspecified
J7179,Vonvendi inj 1 iu vwf:rco,Other,Unspecified
J7180,Factor xiii anti-hem factor,CT,Unspecified
J7181,Factor xiii recomb a-subunit,CT,Unspecified
J7182,Factor viii recomb novoeight,CT,Unspecified
J7183,Wilate injection,CT,Unspecified
J7185,Xyntha inj,Other,Unspecified
J7186,Antihemophilic viii/vwf comp,Other,Unspecified
J7187,"Humate-p, inj",Other,Unspecified
J7188,Factor viii recomb obizur,CT,Unspecified
J7189,Factor viia recomb novoseven,CT,Unspecified
J7190,Factor viii,CT,Unspecified
J7191,Factor viii (porcine),CT,Unspecified
J7192,Factor viii recombinant nos,CT,Unspecified
J7193,Factor ix non-recombinant,CT,Unspecified
J7194,Factor ix complex,CT,Unspecified
J7195,Factor ix recombinant nos,CT,Unspecified
J7196,Antithrombin recombinant,Other,Unspecified
J7197,Antithrombin iii injection,CT,Unspecified
J7198,Anti-inhibitor,Other,Unspecified
J7199,Hemophilia clot factor noc,CT,Unspecified
J7200,Factor ix recombinan rixubis,CT,Unspecified
J7201,Factor ix alprolix recomb,CT,Unspecified
J7202,Factor ix idelvion inj,CT,Unspecified
J7203,Factor ix recomb gly rebinyn,CT,Unspecified
J7204,Inj recombin esperoct per iu,CT,Unspecified
J7205,Factor viii fc fusion recomb,CT,Unspecified
J7207,Factor viii pegylated recomb,CT,Unspecified
J7208,Inj. jivi 1 iu,Other,Unspecified
J7209,Factor viii nuwiq recomb 1iu,CT,Unspecified
J7210,"Inj, afstyla, 1 i.u.",Other,Unspecified
J7211,"Inj, kovaltry, 1 i.u.",Other,Unspecified
J7212,Factor viia recomb sevenfact,CT,Unspecified
J7213,"Inj, ixinity, 1 i.u.",Other,Unspecified
J7214,Altuviiio per factor viii iu,CT,Unspecified
J7294,Seg acet and eth estr yearly,Other,Unspecified
J7295,Eth estr and eton monthly,Other,Unspecified
J7296,"Kyleena, 19.5 mg",Other,Unspecified
J7297,"Liletta, 52 mg",Other,Unspecified
J7298,"Mirena, 52 mg",Other,Unspecified
J7300,Intraut copper contraceptive,Other,Unspecified
J7301,"Skyla, 13.5 mg",Other,Unspecified
J7304,Contraceptive hormone patch,Other,Unspecified
J7306,Levonorgestrel implant sys,Other,Unspecified
J7307,Etonogestrel implant system,Other,Unspecified
J7308,Aminolevulinic acid hcl top,Other,Unspecified
J7309,"Methyl aminolevulinate, top",Other,Unspecified
J7310,Ganciclovir long act implant,CT,Unspecified
J7311,"Inj., retisert, 0.01 mg",Other,Unspecified
J7312,Dexamethasone intra implant,Other,Unspecified
J7313,"Inj., iluvien, 0.01 mg",Other,Unspecified
J7314,"Inj., yutiq, 0.01 mg",Other,Unspecified
J7315,Ophthalmic mitomycin,Other,Unspecified
J7316,"Inj, ocriplasmin, 0.125 mg",Other,Unspecified
J7318,"Inj, durolane 1 mg",Other,Unspecified
J7320,"Genvisc 850, inj, 1mg",Other,Unspecified
J7321,Hyalgan supartz visco-3 dose,Other,Unspecified
J7322,Hymovis injection 1 mg,CT,Unspecified
J7323,Euflexxa inj per dose,Other,Unspecified
J7324,Orthovisc inj per dose,Other,Unspecified
J7325,Synvisc or synvisc-one,Other,Unspecified
J7326,Gel-one,Other,Unspecified
J7327,Monovisc inj per dose,Other,Unspecified
J7328,Gelsyn-3 injection 0.1 mg,CT,Unspecified
J7329,"Inj, trivisc 1 mg",Other,Unspecified
J7330,Cultured chondrocytes implnt,Other,Unspecified
J7331,"Synojoynt, inj., 1 mg",Other,Unspecified
J7332,"Inj., triluron, 1 mg",Other,Unspecified
J7336,Capsaicin 8% patch,Other,Unspecified
J7340,Carbidopa levodopa ent 100ml,Other,Unspecified
J7342,Ciprofloxacin otic susp 6 mg,Other,Unspecified
J7345,"Aminolevulinic acid, 10% gel",Other,Unspecified
J7351,Inj bimatoprost itc imp1mcg,Other,Unspecified
J7352,"Afamelanotide implant, 1 mg",Other,Unspecified
J7353,Anacaulase-bcdb 8.8% gel 1 g,Other,Unspecified
J7354,"Cantharidin top, applicator",Other,Unspecified
J7355,Inj travoprost intra impl,Other,Unspecified
J7402,Mometasone sinus sinuva,Other,Unspecified
J7500,Azathioprine oral 50mg,Other,Unspecified
J7501,Azathioprine parenteral,Other,Unspecified
J7502,Cyclosporine oral 100 mg,Other,Unspecified
J7503,Tacrol envarsus ex rel oral,Other,Unspecified
J7504,Lymphocyte immune globulin,Other,Unspecified
J7505,Monoclonal antibodies,Other,Unspecified
J7507,Tacrolimus imme rel oral 1mg,Other,Unspecified
J7508,Tacrol astagraf ex rel oral,Other,Unspecified
J7509,Methylprednisolone oral,Other,Unspecified
J7510,Prednisolone oral per 5 mg,Other,Unspecified
J7511,Antithymocyte globuln rabbit,Other,Unspecified
J7512,Prednisone ir or dr oral 1mg,Other,Unspecified
J7513,"Daclizumab, parenteral",Other,Unspecified
J7514,Mycophenol (myhibbin) 100 mg,Other,Unspecified
J7515,Cyclosporine oral 25 mg,Other,Unspecified
J7516,"Inj, cyclosporine 250mg",Other,Unspecified
J7517,Mycophenolate mofetil oral,Other,Unspecified
J7518,Mycophenolic acid,Other,Unspecified
J7519,Inj. mycophenolate mofetil,Other,Unspecified
J7520,"Sirolimus, oral",Other,Unspecified
J7525,Tacrolimus injection,CT,Unspecified
J7527,Oral everolimus,Other,Unspecified
J7599,Immunosuppressive drug noc,Other,Unspecified
J7601,Ensifentrine inh 3 mg,Other,Unspecified
J7604,Acetylcysteine comp unit,Other,Unspecified
J7605,Arformoterol non-comp unit,Other,Unspecified
J7606,"Formoterol fumarate, inh",Other,Unspecified
J7607,Levalbuterol comp con,Other,Unspecified
J7608,Acetylcysteine non-comp unit,Other,Unspecified
J7609,Albuterol comp unit,Other,Unspecified
J7610,Albuterol comp con,Other,Unspecified
J7611,Albuterol non-comp con,Other,Unspecified
J7612,Levalbuterol non-comp con,Other,Unspecified
J7613,Albuterol non-comp unit,Other,Unspecified
J7614,Levalbuterol non-comp unit,Other,Unspecified
J7615,Levalbuterol comp unit,Other,Unspecified
J7620,Albuterol ipratrop non-comp,Other,Unspecified
J7622,Beclomethasone comp unit,Other,Unspecified
J7624,Betamethasone comp unit,Other,Unspecified
J7626,Budesonide non-comp unit,Other,Unspecified
J7627,Budesonide comp unit,Other,Unspecified
J7628,Bitolterol mesylate comp con,Other,Unspecified
J7629,Bitolterol mesylate comp unt,Other,Unspecified
J7631,Cromolyn sodium noncomp unit,Other,Unspecified
J7632,Cromolyn sodium comp unit,Other,Unspecified
J7633,Budesonide non-comp con,Other,Unspecified
J7634,Budesonide comp con,Other,Unspecified
J7635,Atropine comp con,Other,Unspecified
J7636,Atropine comp unit,Other,Unspecified
J7637,Dexamethasone comp con,Other,Unspecified
J7638,Dexamethasone comp unit,Other,Unspecified
J7639,Dornase alfa non-comp unit,Other,Unspecified
J7640,Formoterol comp unit,Other,Unspecified
J7641,Flunisolide comp unit,Other,Unspecified
J7642,Glycopyrrolate comp con,Other,Unspecified
J7643,Glycopyrrolate comp unit,Other,Unspecified
J7644,Ipratropium bromide non-comp,Other,Unspecified
J7645,Ipratropium bromide comp,Other,Unspecified
J7647,Isoetharine comp con,Other,Unspecified
J7648,Isoetharine non-comp con,Other,Unspecified
J7649,Isoetharine non-comp unit,Other,Unspecified
J7650,Isoetharine comp unit,Other,Unspecified
J7657,Isoproterenol comp con,Other,Unspecified
J7658,Isoproterenol non-comp con,Other,Unspecified
J7659,Isoproterenol non-comp unit,Other,Unspecified
J7660,Isoproterenol comp unit,Other,Unspecified
J7665,Mannitol for inhaler,Other,Unspecified
J7667,Metaproterenol comp con,Other,Unspecified
J7668,Metaproterenol non-comp con,Other,Unspecified
J7669,Metaproterenol non-comp unit,Other,Unspecified
J7670,Metaproterenol comp unit,Other,Unspecified
J7674,"Methacholine chloride, neb",Other,Unspecified
J7676,Pentamidine comp unit dose,Other,Unspecified
J7677,Revefenacin inh non-com 1mcg,Other,Unspecified
J7680,Terbutaline sulf comp con,Other,Unspecified
J7681,Terbutaline sulf comp unit,Other,Unspecified
J7682,Tobramycin non-comp unit,Other,Unspecified
J7683,Triamcinolone comp con,Other,Unspecified
J7684,Triamcinolone comp unit,Other,Unspecified
J7685,Tobramycin comp unit,Other,Unspecified
J7686,"Treprostinil, non-comp unit",Other,Unspecified
J7699,Inhalation solution for dme,Other,Unspecified
J7799,Non-inhalation drug for dme,Other,Unspecified
J7999,"Compounded drug, noc",Other,Unspecified
J8498,Antiemetic rectal/supp nos,CT,Unspecified
J8499,Oral prescrip drug non chemo,Other,Unspecified
J8501,Oral aprepitant,Other,Unspecified
J8510,Oral busulfan,Other,Unspecified
J8515,"Cabergoline, oral 0.25mg",Other,Unspecified
J8522,"Capecitabine, oral, 50 mg",Other,Unspecified
J8530,Cyclophosphamide oral 25 mg,Other,Unspecified
J8540,Oral dexamethasone,Other,Unspecified
J8541,"Oral, hemady, 0.25 mg",Other,Unspecified
J8560,Etoposide oral 50 mg,Other,Unspecified
J8562,Oral fludarabine phosphate,Other,Unspecified
J8565,Gefitinib oral,Other,Unspecified
J8597,Antiemetic drug oral nos,Other,Unspecified
J8600,Melphalan oral 2 mg,Other,Unspecified
J8610,Methotrexate oral 2.5 mg,Other,Unspecified
J8611,Oral methotrexate (jylamvo),Other,Unspecified
J8612,Oral methotrexate (xatmep),Other,Unspecified
J8650,Nabilone oral,Other,Unspecified
J8655,"Oral netupitant, palonosetro",Other,Unspecified
J8670,"Rolapitant, oral, 1mg",Other,Unspecified
J8700,Temozolomide,Other,Unspecified
J8705,Topotecan oral,Other,Unspecified
J8999,Oral prescription drug chemo,Other,Unspecified
J9000,Doxorubicin hcl injection,CT,Unspecified
J9015,Aldesleukin injection,CT,Unspecified
J9017,Arsenic trioxide injection,CT,Unspecified
